FeatureGroupIndex	FileName	MonoisotopicMass	AverageMass	StartRetentionTime(FWHM)	EndRetentionTime(FWHM)	HighestApexRetentionTime	MedianApexRetentionTime	FeatureGroupQuantity	AllAreaUnderTheCurve	SumIntensity	MinCharge	MaxCharge	ChargeCount	MostAbundantFeatureCharge	IsotopeCosineScore
1247	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	4905.925362	4908.988400	5813.771190	5856.981296	5838.211109	5833.962427	39357186.933815	45648996.304151	45649012.304151	7	9	3	8	0.966772
1248	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	7170.231331	7174.713484	1164.941011	1311.320145	1227.161845	1215.660491	47229460.372909	47736502.628696	43117721.839335	7	15	9	11	0.971349
1249	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	7172.110815	7176.592968	1200.305744	1322.821763	1284.537499	1246.324829	16192658.456837	16825252.301348	15960613.748943	7	15	9	10	0.965430
1250	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	7818.862964	7823.739966	1607.454344	1651.080153	1623.511084	1623.511084	44554498.740900	49993382.345763	49993395.345763	9	11	3	11	0.879288
1251	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	5556.296225	5559.727777	6050.122292	6100.960621	6087.351082	6080.722414	11612536.526634	12354578.222512	12354588.222512	8	10	3	9	0.945931
1252	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	6966.186472	6970.555337	6584.138116	6666.943757	6616.448786	6629.023117	1560509.507576	1569340.009090	1169270.013934	10	13	4	10	0.886885
1253	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	6965.274090	6969.642955	6547.085897	6633.267416	6588.128020	6592.208090	865051.198161	865051.198161	831144.176880	9	13	5	12	0.942957
1254	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	5538.512692	5541.944244	6016.787304	6129.505021	6078.421723	6083.023105	39637542.899981	43437658.578764	43437677.578764	5	10	5	9	0.973814
1255	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	6237.576037	6241.426029	956.371955	1010.469859	994.996468	987.271642	486241.222869	486241.222869	486249.222869	10	12	3	11	0.921613
1256	/Users/jeek/Documents/A4B/FDQ/spike-in/20220414_Ecoli_ProtMix_A_R1.mzML	6236.581997	6240.420280	1002.736126	1037.366109	1021.898117	1021.898117	22261029.048478	28262106.725970	28262135.725970	7	11	5	11	0.958009
